,ac_number,constituency,region,reserved,winner_party_2021,winner_share_2021,margin_pct_2021,winner_party_2026,winner_share_2026,margin_pct_2026,total_votes,num_candidates,flipped,share_delta,margin_delta
51,52,Bargur,North,GEN,DMK,49.17,6.38,AIADMK,33.3,1.98,213960,16,True,-15.87,-4.4
52,53,Krishnagiri,North,GEN,AIADMK,45.38,0.38,TVK,38.83,8.19,230181,16,True,-6.55,7.81
53,54,Veppanahalli,North,GEN,AIADMK,45.87,1.49,DMK,33.55,0.06,222608,14,True,-12.32,-1.43
54,55,Hosur,North,GEN,DMK,47.65,4.98,AIADMK,39.55,10.01,277770,14,True,-8.1,5.03
55,56,Thalli,North,GEN,CPI,62.18,28.98,CPI,38.02,2.55,205878,11,False,-24.16,-26.43
56,57,Palacode,North,GEN,AIADMK,53.28,13.6,AIADMK,45.64,17.33,225257,15,False,-7.64,3.73
57,58,Pennagaram,North,GEN,PMK,50.46,10.07,TVK,35.53,1.38,228666,23,True,-14.93,-8.69
58,59,Dharmapuri,North,GEN,PMK,48.6,12.36,PMK,39.28,8.76,238579,20,False,-9.32,-3.6
59,60,Pappireddippatti,North,GEN,AIADMK,51.81,16.72,AIADMK,43.03,13.99,236621,15,False,-8.78,-2.73
60,61,Harur,North,SC,AIADMK,49.89,15.29,AIADMK,34.32,1.51,220042,15,False,-15.57,-13.78
61,62,Chengam,North,SC,DMK,48.26,5.17,AIADMK,36.15,5.47,242897,16,True,-12.11,0.3
62,63,Tiruvannamalai,North,GEN,DMK,66.02,45.33,DMK,40.11,1.12,220066,31,False,-25.91,-44.21
63,64,Kilpennathur,North,GEN,DMK,51.34,13.14,AIADMK,41.18,13.86,219790,24,True,-10.16,0.72
64,65,Kalasapakkam,North,GEN,DMK,47.92,4.69,AIADMK,41.86,12.49,214127,22,True,-6.06,7.8
65,66,Polur,North,GEN,AIADMK,48.38,4.81,TVK,32.1,0.11,211743,16,True,-16.28,-4.7
66,67,Arani,North,GEN,AIADMK,46.5,1.41,AIADMK,33.34,2.45,230162,25,False,-13.16,1.04
67,68,Cheyyar,North,GEN,DMK,47.78,5.72,AIADMK,38.95,9.47,222570,14,True,-8.83,3.75
68,69,Vandavasi,North,SC,DMK,54.88,19.33,DMK,33.37,1.74,191204,16,False,-21.51,-17.59
69,70,Gingee,Central,GEN,DMK,52.99,17.31,PMK,36.1,5.84,216652,20,True,-16.89,-11.47
70,71,Mailam,Central,GEN,PMK,45.79,1.26,AIADMK,43.52,15.88,189221,22,True,-2.27,14.62
71,72,Tindivanam,Central,SC,AIADMK,47.74,5.34,VCK,32.56,0.37,196026,15,True,-15.18,-4.97
72,73,Vanur,Central,SC,AIADMK,50.61,11.92,DMK,35.85,3.66,192119,16,True,-14.76,-8.26
73,74,Villupuram,Central,GEN,DMK,49.92,7.26,DMK,33.88,1.91,215422,25,False,-16.04,-5.35
74,75,Vikravandi,Central,GEN,DMK,48.41,4.94,PMK,33.33,0.43,209231,25,True,-15.08,-4.51
75,76,Tirukkoyilur,Central,GEN,DMK,56.56,30.42,AIADMK,33.61,0.13,217318,16,True,-22.95,-30.29
